Code,Description,CodeType,Deprecated,Created,Modified,
35JE,JEAN DOMINIQUE,SHIPC,False,2006-12-21,2006-12-21,
35JM,JMAA KARAK,SHIPC,False,2006-12-21,2006-12-21,
35JU,JULES E DELBY,SHIPC,False,2006-12-21,2006-12-21,
35JW,JUSTINE WESSELS,SHIPC,False,2006-12-21,2006-12-21,
35JZ,JOB HA ZELIAN,SHIPC,False,2006-12-21,2006-12-21,
35K7,MAIDO,SHIPC,False,2016-06-19,2016-06-19,
35KA,KARECK HIR,SHIPC,False,2006-12-21,2006-12-21,
35KE,CMA CGM FORT ST PIERRE,SHIPC,False,2018-02-23,2018-02-23,
35KG,KORRIGAN,SHIPC,False,2006-12-21,2006-12-21,
35KO,KORNOG,SHIPC,False,2006-12-21,2016-02-24,
35KP,ANDRE L.,SHIPC,False,2018-06-22,2018-06-22,
35KR,KOROTNEFF,SHIPC,False,2006-12-21,2006-12-21,
35L1,LA RECHERCHE,SHIPC,False,2006-12-21,2009-12-11,
35L2,LE TAHITIEN,SHIPC,False,2006-12-21,2006-12-21,
35L6,LAPLACE,SHIPC,False,2012-05-24,2012-05-24,
35LA,LAPEROUSE,SHIPC,False,2006-12-21,2013-08-15,
35LB,LEON BOURDELES,SHIPC,False,2006-12-21,2006-12-21,
35LC,LA CAPRICIEUSE,SHIPC,False,2006-12-21,2006-12-21,
35LD,LE PASSEUR DU PRINTEMPS,SHIPC,False,2006-12-21,2006-12-21,
35LE,LEON COURSIN,SHIPC,False,2006-12-21,2006-12-21,
35LF,LE FRINGANT,SHIPC,False,2006-12-21,2006-12-21,
35LG,LA PELAGIA,SHIPC,False,2006-12-21,2016-02-24,
35LH,LA PERLE,SHIPC,False,2006-12-21,2019-05-28,
35LI,LOUIS COLLET,SHIPC,False,2006-12-21,2006-12-21,
35LJ,LACAZE DUTHIERS,SHIPC,False,2006-12-21,2006-12-21,
35LK,LA HORAINE,SHIPC,False,2006-12-21,2006-12-21,
35LL,LE NOROIT,SHIPC,False,2006-12-21,2006-12-21,
35LM,LE GOUMIER,SHIPC,False,2006-12-21,2006-12-21,
35LN,LANCIER,SHIPC,False,2006-12-21,2006-12-21,
35LO,LOTUS,SHIPC,False,2006-12-21,2006-12-21,
35LP,LAPLACE,SHIPC,False,2006-12-21,2011-07-06,
35LQ,LA COQUILLE,SHIPC,False,2006-12-21,2015-09-09,
35LR,LE RUSE,SHIPC,False,2006-12-21,2006-12-21,
35LS,LA DIEPPOISE,SHIPC,False,2006-12-21,2006-12-21,
35LT,LE CENTAURE,SHIPC,False,2006-12-21,2006-12-21,
35LU,LE SUROIT,SHIPC,False,2006-12-21,2015-06-03,
35LV,LE VERRIER,SHIPC,False,2006-12-21,2006-12-21,
35LW,DELMAS SURCOUF,SHIPC,False,2006-12-21,2006-12-21,
35LX,ILE DE LA REUNION,SHIPC,False,2006-12-21,2016-02-24,
35LY,ALBERT LUCAS,SHIPC,False,2013-03-21,2013-08-15,
35LZ,L'ISLANDE,SHIPC,False,2006-12-21,2006-12-21,
35M1,MARION DUFRESNE,SHIPC,False,2009-12-08,2016-02-24,
35M2,STYX,SHIPC,False,2019-02-05,2019-02-05,
35M4,MONT SAINT MICHEL,SHIPC,False,2016-11-04,2016-11-04,
35M8,THEQUE,SHIPC,False,2018-08-28,2018-08-28,
35MA,MAMELUCK,SHIPC,False,2006-12-21,2006-12-21,
35MB,MAINE,SHIPC,False,2006-12-21,2006-12-21,
35MC,MEDARIANA,SHIPC,False,2006-12-21,2006-12-21,
35MD,MEDELENA,SHIPC,False,2006-12-21,2006-12-21,
35ME,MERMOZ,SHIPC,False,2006-12-21,2009-10-02,
35MF,MARION DUFRESNE,SHIPC,True,2006-12-21,2018-06-12,
35MG,MARIA GEESJE,SHIPC,False,2006-12-21,2006-12-21,
35MH,MARCEL LE BIHAN,SHIPC,False,2006-12-21,2013-08-15,
35MI,MICHEL,SHIPC,False,2006-12-21,2006-12-21,
35MJ,MN COLIBRI,SHIPC,False,2012-12-06,2012-12-06,
35ML,MADELEINE,SHIPC,False,2006-12-21,2006-12-21,
35MN,MARIE-ANNICK,SHIPC,False,2006-12-21,2006-12-21,
35MO,MEDITERRANEE,SHIPC,False,2018-06-15,2018-06-15,
35MP,AMPERE,SHIPC,False,2006-12-21,2006-12-21,
35MR,MARARA,SHIPC,False,2006-12-21,2006-12-21,
35MS,MASCAROI,SHIPC,False,2006-12-21,2006-12-21,
35MT,MN TOUCAN,SHIPC,False,2006-12-21,2015-06-08,
35MV,MARION DUFRESNE,SHIPC,False,2009-12-03,2016-02-24,
35NA,NAUTICUS,SHIPC,False,2006-12-21,2006-12-21,
35NB,NOSY BE,SHIPC,False,2006-12-21,2006-12-21,
35NC,NADIR,SHIPC,False,2006-12-21,2016-07-20,
35ND,NOTRE DAME,SHIPC,False,2006-12-21,2009-09-28,
35NE,NERELS,SHIPC,False,2006-12-21,2006-12-21,
35NF,NORD CLOUD,SHIPC,False,2006-12-21,2006-12-21,
35NI,ANDRE NIZERY,SHIPC,False,2006-12-21,2006-12-21,
35NL,NATHALIE DELMAS,SHIPC,False,2006-12-21,2006-12-21,
35NM,Cote De Normandie,SHIPC,False,2013-07-29,2013-07-29,
35NO,NOOUNDI III,SHIPC,False,2006-12-21,2006-12-21,
35NR,NORSEL,SHIPC,False,2006-12-21,2006-12-21,
35NS,NEREIS II,SHIPC,False,2006-12-21,2012-12-19,
35NT,NOROIT,SHIPC,False,2006-12-21,2006-12-21,
35NV,NAVARIN,SHIPC,False,2006-12-21,2006-12-21,
35NY,Neomysis,SHIPC,False,2011-12-16,2013-08-15,
35O7,L'Astrolabe,SHIPC,False,2017-12-02,2018-04-09,
35O8,ARIANE,SHIPC,False,2017-04-26,2017-04-26,
35OC,OCTANT,SHIPC,False,2006-12-21,2006-12-21,
35OD,ODET,SHIPC,False,2006-12-21,2006-12-21,
35OE,OCEONE,SHIPC,False,2006-12-21,2006-12-21,
35OG,ORIGNY,SHIPC,False,2006-12-21,2006-12-21,
35OJ,CIUDAD DE CADIZ,SHIPC,False,2018-02-22,2018-02-22,
35OM,ORSOM I,SHIPC,False,2006-12-21,2015-01-27,
35OR,ORSOM II,SHIPC,False,2006-12-21,2015-01-27,
35OS,ORSOM III,SHIPC,False,2006-12-21,2015-01-27,
35OT,OSTREA,SHIPC,False,2006-12-21,2006-12-21,
35OU,LEON THEVENIN,SHIPC,False,2018-01-25,2018-01-25,
35P1,PONT L'ABBE,SHIPC,False,2006-12-21,2015-10-21,
35PA,PHALIA,SHIPC,False,2006-12-21,2006-12-21,
35PB,PETITE BERTHE,SHIPC,False,2006-12-21,2006-12-21,
35PC,PELICAN,SHIPC,False,2006-12-21,2009-12-08,
35PD,PEN DRUC,SHIPC,False,2006-12-21,2006-12-21,
35PE,PETREL,SHIPC,False,2006-12-21,2006-12-21,
35PF,PATRICIA DELMAS,SHIPC,False,2006-12-21,2006-12-21,
35PH,PHAETON,SHIPC,False,2006-12-21,2006-12-21,
35PJ,CAP BOJADOR,SHIPC,False,2006-12-21,2006-12-21,
35PK,POURQUOI PAS?,SHIPC,False,2006-12-21,2009-12-08,
35PL,PROFESSEUR LACAZE DUTHIERS,SHIPC,False,2006-12-21,2006-12-21,
35PM,PETITE MARIE FRANCOISE,SHIPC,False,2006-12-21,2006-12-21,
35PN,PONT-AVEN,SHIPC,False,2012-07-25,2012-07-25,
35PP,POURQUOI PAS,SHIPC,False,2006-12-21,2006-12-21,
35PR,PETROCAP,SHIPC,False,2006-12-21,2006-12-21,
35PS,PLUTEUS II,SHIPC,False,2006-12-21,2006-12-21,
35PT,PRESIDENT T. TISSIER,SHIPC,False,2006-12-21,2009-09-28,
35PU,PLUTEUS,SHIPC,False,2006-12-21,2006-12-21,
35PY,PYRRHUS,SHIPC,False,2006-12-21,2006-12-21,
35PZ,PERCHE,SHIPC,False,2006-12-21,2006-12-21,
35Q5,CRATE,SHIPC,False,2018-08-28,2018-08-28,
35Q7,CARLA EGLANTINE,SHIPC,False,2019-02-22,2019-02-22,
35QA,COTE D'AQUITAINE,SHIPC,False,2006-12-21,2007-03-15,
35QB,QUILLE BOIS,SHIPC,False,2006-12-21,2006-12-21,
35QH,RAYMOND CROZE,SHIPC,False,2018-03-02,2018-03-02,
35QJ,LA JULIANNE,SHIPC,False,2017-08-21,2017-08-21,
35QL,Albarquel,SHIPC,False,2011-01-20,2011-01-20,
35QQ,CMA CGM FORT ST GEORGES,SHIPC,False,2018-02-22,2018-02-22,
35QR,QUENTIN ROOSEVELT,SHIPC,False,2006-12-21,2006-12-21,
35R1,ARIANA,SHIPC,False,2006-12-21,2006-12-21,
35RA,RAMOGE,SHIPC,False,2006-12-21,2006-12-21,
35RB,ROSTAND,SHIPC,False,2006-12-21,2006-12-21,
35RC,RACINE,SHIPC,False,2006-12-21,2006-12-21,
35RD,RIMBAUD,SHIPC,False,2006-12-21,2006-12-21,
35RE,ROSELYS,SHIPC,False,2006-12-21,2006-12-21,
35RF,RABELAIS,SHIPC,False,2006-12-21,2006-12-21,
35RG,Recteur Dubuisson,SHIPC,False,2014-09-25,2016-02-24,
